Year,Month,Total Blood Smears Examined for Malaria,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,Inpatient - Malaria,Inpatient - Dengue,Inpatient - Typhoid,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",Inpatient - Tuberculosis,Inpatient - Diarrhea with dehydration,Inpatient - Hepatitis,Specific Humidity,Relative Humidity,T2M,T2M_MAX,T2M_MIN,District
2014,August,562,0,0,-1,-1,-1,-1,-1,-1,-1,14.35935483870968,86.33612903225807,17.86741935483871,21.71870967741935,14.48225806451613,Bageshwar
2014,September,733,0,0,-1,-1,-1,-1,-1,-1,-1,12.453,84.36266666666667,16.08566666666666,20.47033333333333,12.502,Bageshwar
2014,October,661,0,0,-1,-1,-1,-1,-1,-1,-1,8.02741935483871,71.15322580645162,12.19516129032258,18.05032258064516,7.700967741935484,Bageshwar
2014,November,599,0,0,-1,-1,-1,-1,-1,-1,-1,4.056,43.69633333333334,9.753333333333334,17.562,4.525333333333333,Bageshwar
2014,December,250,0,0,-1,-1,-1,-1,-1,-1,-1,2.485161290322581,36.99193548387097,5.700967741935483,13.69612903225806,0.2074193548387097,Bageshwar
2013,January,102,0,0,-1,-1,-1,-1,-1,-1,-1,3.120967741935484,53.73774193548387,2.81258064516129,10.0958064516129,-2.639354838709677,Bageshwar
2013,February,131,0,0,-1,-1,-1,-1,-1,-1,-1,4.8,73.24357142857143,4.218571428571429,9.915714285714285,-0.8592857142857142,Bageshwar
2013,March,234,0,0,-1,-1,-1,-1,-1,-1,-1,5.551935483870968,58.29612903225807,9.858709677419355,16.74064516129032,3.366129032258064,Bageshwar
2013,April,713,0,0,-1,-1,-1,-1,-1,-1,-1,6.147666666666667,51.20033333333333,13.82433333333333,20.304,7.800666666666667,Bageshwar
2013,May,383,0,0,-1,-1,-1,-1,-1,-1,-1,5.120967741935484,30.11096774193549,19.47,26.55064516129032,12.74064516129032,Bageshwar
2013,June,348,0,0,-1,-1,-1,-1,-1,-1,-1,13.46766666666667,80.41566666666667,18.23266666666667,22.338,14.62866666666667,Bageshwar
2013,July,352,0,0,-1,-1,-1,-1,-1,-1,-1,15.38451612903226,90.92999999999999,18.01258064516129,21.26064516129032,15.05741935483871,Bageshwar
2013,August,258,0,0,-1,-1,-1,-1,-1,-1,-1,14.61161290322581,90.96967741935484,17.23838709677419,20.32870967741936,14.67129032258065,Bageshwar
2013,September,188,1,0,-1,-1,-1,-1,-1,-1,-1,12.68433333333333,86.11266666666667,16.005,19.948,12.607,Bageshwar
2013,October,65,0,0,-1,-1,-1,-1,-1,-1,-1,9.519677419354839,77.9058064516129,12.93612903225806,17.75290322580645,9.15548387096774,Bageshwar
2013,November,11,0,0,-1,-1,-1,-1,-1,-1,-1,4.551,52.37333333333333,8.513333333333334,15.12166666666667,3.882333333333333,Bageshwar
2013,December,42,0,0,-1,-1,-1,-1,-1,-1,-1,3.394838709677419,49.5158064516129,5.268064516129033,12.50387096774194,0.3045161290322581,Bageshwar
2012,January,214,0,0,-1,-1,-1,-1,-1,-1,-1,2.957096774193548,60.28064516129032,0.5158064516129033,7.192258064516129,-4.577419354838709,Bageshwar
2012,February,256,0,0,-1,-1,-1,-1,-1,-1,-1,3.213793103448276,51.88172413793103,4.098275862068966,11.6048275862069,-1.94551724137931,Bageshwar
2012,March,217,0,0,-1,-1,-1,-1,-1,-1,-1,3.040322580645161,36.28645161290323,9.178064516129032,17.31258064516129,2.171935483870968,Bageshwar
2012,April,305,0,0,-1,-1,-1,-1,-1,-1,-1,5.573333333333333,47.50866666666666,13.64,20.598,7.194999999999999,Bageshwar
2012,May,302,0,0,-1,-1,-1,-1,-1,-1,-1,4.822258064516129,31.88967741935484,17.83322580645162,25.13806451612903,10.29096774193548,Bageshwar
2012,June,370,0,1,-1,-1,-1,-1,-1,-1,-1,7.242333333333334,37.50633333333334,21.40366666666667,28.369,14.37433333333333,Bageshwar
2012,July,310,0,0,-1,-1,-1,-1,-1,-1,-1,14.51096774193548,82.69999999999999,18.89225806451613,23.11322580645161,15.52741935483871,Bageshwar
2012,August,257,1,0,-1,-1,-1,-1,-1,-1,-1,14.54548387096774,88.9874193548387,17.54774193548387,20.84483870967742,14.6458064516129,Bageshwar
2012,September,296,1,0,-1,-1,-1,-1,-1,-1,-1,12.85133333333333,86.481,16.068,19.803,12.79633333333333,Bageshwar
2012,October,442,0,0,-1,-1,-1,-1,-1,-1,-1,7.870967741935484,73.68225806451613,11.27193548387097,16.67387096774193,6.775806451612904,Bageshwar
2012,November,290,0,0,-1,-1,-1,-1,-1,-1,-1,4.952,57.90833333333333,8.177333333333333,14.91133333333333,3.573333333333333,Bageshwar
2012,December,241,0,0,-1,-1,-1,-1,-1,-1,-1,3.263870967741935,46.06612903225806,5.993548387096775,13.36161290322581,1.084838709677419,Bageshwar
2011,January,42,0,0,-1,-1,-1,-1,-1,-1,-1,2.522258064516129,45.85451612903226,2.356774193548387,9.831290322580644,-3.038064516129032,Bageshwar
